variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate,architecture
F0-C,43,42,6,0.9995954530381087,0.9998658316474928,1.0,3.0,0.0,tcn
F0-C,43,42,7,0.510736628413704,0.7202942356370573,1.0,4.0,0.0,tcn
F0-C,43,42,8,0.9917879931556414,0.9971927345517398,1.0,28.85,0.0,tcn
F0-C,43,42,9,0.5278774875828887,0.7265181052483389,0.0,,0.0,tcn
F0-C,43,42,10,0.9594880014152241,0.9852900722403846,1.0,38.75,0.0,tcn
F0-C,43,42,11,0.9401447954150687,0.9772413557121117,1.0,11.4,0.0,tcn
F0-C,43,42,12,0.799380127567405,0.9149345264510704,1.0,27.65,0.0,tcn
F0-C,43,42,13,0.9887089409365873,0.996262381576891,1.0,37.55,0.0,tcn
F0-C,43,42,14,0.9961410767537128,0.9984927633197053,1.0,5.9,0.0,tcn
F0-C,43,42,15,0.5183075991858763,0.7196191379231232,0.0,,0.0,tcn
F0-C,43,42,16,0.5121200129687775,0.7155863790311715,0.0,,0.0,tcn
F0-C,43,42,17,0.9848295228303494,0.994704989423649,1.0,33.05,0.0,tcn
F0-C,43,42,18,0.9336369962733256,0.9754665742221094,1.0,59.45,0.0,tcn
F0-C,43,42,19,0.7725508364984793,0.9019029603126327,1.0,128.65,0.0,tcn
F0-C,43,42,20,0.9842590630428056,0.9945649653568092,1.0,43.35,0.0,tcn
F0-C,43,42,21,0.5030412368909944,0.7089390310987407,0.0,,0.0,tcn
F0-C,43,42,22,0.5424725522973352,0.7362258274931913,0.0,,0.0,tcn
F0-C,43,42,23,0.5191323986444423,0.7208612514721657,0.0,,0.0,tcn
F0-C,43,42,24,0.854592432742958,0.9397512222681509,1.0,35.7,0.0,tcn
F0-C,43,42,25,0.6303616680165537,0.8020719109569986,0.5,606.8,0.0,tcn
F0-C,43,42,26,0.5370838772946538,0.7343253023347175,0.0,,0.0,tcn
F0-C,43,42,27,0.7867434160647649,0.9053818844079125,1.0,30.8,0.0,tcn
F0-C,43,42,28,0.567326071064463,0.7638637356756968,0.0,,0.0,tcn
F0,44,42,1,0.9989402246606482,0.999634351398708,1.0,7.25,0.0,tcn
F0,44,42,2,0.9974783432509964,0.9991209804364416,1.0,16.85,0.0,tcn
F0,44,42,3,0.5242850005978952,0.7216956210653996,0.0,,0.0,tcn
F0,44,42,4,0.5011229796382796,0.710123324036489,1.0,4.0,0.0,tcn
F0,44,42,5,0.49445625749680405,0.7047550863759404,0.0,,0.0,tcn
F0,44,42,6,0.9996014011703952,0.9998686214046436,1.0,3.0,0.0,tcn
F0,44,42,7,0.510905761860206,0.7204380373161218,1.0,4.0,0.0,tcn
F0,44,42,8,0.9917461774774742,0.9971789000093463,1.0,29.2,0.0,tcn
F0,44,42,9,0.5271047204131271,0.726355537126874,0.0,,0.0,tcn
F0,44,42,10,0.9589856123001211,0.9851003215332972,1.0,39.55,0.0,tcn
F0,44,42,11,0.9386588595118956,0.9766882072204933,1.0,11.95,0.0,tcn
F0,44,42,12,0.7987016614088875,0.9145587114585451,1.0,26.85,0.0,tcn
F0,44,42,13,0.9887078376042773,0.9962616359530292,1.0,37.55,0.0,tcn
F0,44,42,14,0.9967706387862605,0.9987546118479962,1.0,5.9,0.0,tcn
F0,44,42,15,0.5182927843299691,0.7197730867685317,0.0,,0.0,tcn
F0,44,42,16,0.5118925292691255,0.7155908883355325,0.0,,0.0,tcn
F0,44,42,17,0.9840591626509069,0.9944081475669605,1.0,33.15,0.0,tcn
F0,44,42,18,0.9341110408430199,0.9756121488305012,1.0,59.25,0.0,tcn
F0,44,42,19,0.7743913211510653,0.902849705939475,1.0,129.95,0.0,tcn
F0,44,42,20,0.9851752325935459,0.9949307383620686,1.0,43.8,0.0,tcn
F0,44,42,21,0.5018613616723313,0.708012848107973,0.0,,0.0,tcn
F0,44,42,22,0.5423046701159671,0.7362966970317362,0.0,,0.0,tcn
F0,44,42,23,0.5191433425914626,0.7209129868842952,0.0,,0.0,tcn
F0,44,42,24,0.8518938637464727,0.9384334923499438,1.0,37.45,0.0,tcn
F0,44,42,25,0.6323424330511515,0.8033047472272888,0.5,663.6,0.0,tcn
F0,44,42,26,0.5349577898343029,0.7330249138986834,0.0,,0.0,tcn
F0,44,42,27,0.7834431303078605,0.9038623645616619,1.0,35.3,0.0,tcn
F0,44,42,28,0.567620161517988,0.7639252407407833,0.0,,0.0,tcn
F1,44,42,1,0.9989927346491958,0.9996526752885616,1.0,6.75,0.0,tcn
F1,44,42,2,0.9977341838237923,0.9992107273448319,1.0,14.3,0.0,tcn
F1,44,42,3,0.5400786540332035,0.7324178414867617,0.0,,0.0,tcn
F1,44,42,4,0.5984786156939467,0.7666754901076823,1.0,4.0,0.0,tcn
F1,44,42,5,0.49419959096574245,0.704531441501831,0.0,,0.0,tcn
F1,44,42,6,0.9995920752386341,0.9998663442556578,1.0,3.0,0.0,tcn
F1,44,42,7,0.9992889547189955,0.999761906099587,1.0,4.0,0.0,tcn
F1,44,42,8,0.9924043891668793,0.9974157792396487,1.0,28.05,0.0,tcn
F1,44,42,9,0.5409266357980175,0.735723852705679,0.0,,0.0,tcn
F1,44,42,10,0.9595732477048838,0.985355024732554,1.0,38.45,0.0,tcn
