architecture,seed,condition,mode,channel,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean,original_auroc,original_auprc,original_pre_fpr,delta_auroc,delta_auprc,delta_pre_fpr
gru,46,conditional_XMV_02,conditional,2.0,19,20,0.8473880290985107,0.953338226744186,0.9750641810327269,0.00975,1.0,27.75,0.9542154900332226,0.9755953682323236,0.00975,0.0008772632890365895,0.0005311871995967721,0.0
gru,46,conditional_XMV_02,conditional,2.0,20,20,0.8473880290985107,0.9395168189368772,0.9702998298906444,0.00925,1.0,40.7,0.9394400332225914,0.9702826747183746,0.009,-7.678571428582082e-05,-1.7155172269855967e-05,0.0002500000000000002
gru,46,conditional_XMV_02,conditional,2.0,21,20,0.8473880290985107,0.4987133928571428,0.5976014043121288,0.01,0.0,302.0,0.4984669850498339,0.5975427313288815,0.01025,-0.00024640780730889045,-5.867298324735426e-05,-0.0002500000000000002
gru,46,conditional_XMV_02,conditional,2.0,22,20,0.8473880290985107,0.5679739410299003,0.6556579128030599,0.0105,0.0,302.0,0.5675300664451828,0.656049473409075,0.01075,-0.0004438745847175074,0.0003915606060151955,-0.0002499999999999985
gru,46,conditional_XMV_02,conditional,2.0,23,20,0.8473880290985107,0.5352218853820598,0.6275119875465812,0.00925,0.0,302.0,0.5355757059800664,0.6278469803772752,0.0095,0.0003538205980065934,0.0003349928306939365,-0.0002500000000000002
gru,46,conditional_XMV_02,conditional,2.0,24,20,0.8473880290985107,0.9712428571428572,0.9851298066238195,0.01,1.0,14.7,0.9718053571428572,0.9854357087539476,0.011,0.0005625000000000213,0.000305902130128044,-0.0009999999999999992
gru,46,conditional_XMV_02,conditional,2.0,25,20,0.8473880290985107,0.8782340323920266,0.927721655838759,0.00775,1.0,34.95,0.8932264742524917,0.9375149328330558,0.00775,0.014992441860465111,0.009793276994296773,0.0
gru,46,conditional_XMV_02,conditional,2.0,26,20,0.8473880290985107,0.9237733596345516,0.9590515492392492,0.011,1.0,30.05,0.9239101951827242,0.959121884148731,0.01025,0.00013683554817256471,7.033490948182841e-05,0.0007499999999999989
gru,46,conditional_XMV_02,conditional,2.0,27,20,0.8473880290985107,0.875709219269103,0.9232436625607794,0.009,1.0,15.9,0.8750355689368771,0.9227458907556544,0.01,-0.0006736503322258836,-0.0004977718051250024,-0.0010000000000000009
gru,46,conditional_XMV_02,conditional,2.0,28,20,0.8473880290985107,0.5564300664451827,0.6605014896752837,0.009,0.0,302.0,0.5562675249169435,0.6607830869573832,0.009,-0.00016254152823913515,0.0002815972820995327,0.0
