architecture,mode,fault_id,channel,mean_delta_auroc,median_delta_auroc,min_delta_auroc,mean_delta_auprc,positive_auroc_seeds,max_abs_pre_fpr_shift,stable_material_raw,method,r2,std_ratio,wasserstein,ks_statistic,observed_lag1,predicted_lag1,observed_std,imputer_reliable,stable_material,run_delta_auroc_mean,run_delta_auroc_ci_low,run_delta_auroc_ci_high,run_delta_auprc_mean,run_delta_auprc_ci_low,run_delta_auprc_ci_high,run_ci_excludes_zero
gru,conditional,3,3.0,2.3210132890327807e-05,2.0764119601279774e-05,-0.00025566860465120467,-2.9042095866382843e-05,3,0.0007499999999999989,False,legacy_mean,0.9645213980895376,0.9826198816299438,0.0132580876337276,0.0045016407966613,0.9338504025323758,0.9224820453538722,0.9988558888435364,True,False,,,,,,,False
gru,conditional,3,4.0,0.0019112583056478227,0.0016887250830563971,0.0010030315614617535,0.0019885804143363827,5,0.0004999999999999987,False,legacy_mean,0.578858077860626,0.7629849314689636,0.188949346998356,0.0666544735431671,0.6053401041017571,0.6451221459408996,0.995981752872467,True,False,,,,,,,False
gru,conditional,3,5.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,3,6.0,-0.00017376661129571148,-0.00020323920265785667,-0.0002395971760797977,-0.00015397389456530685,0,0.0004999999999999987,False,legacy_mean,0.997028398791882,0.99845689535141,0.0014378663426005,0.0010824799537658,0.982810815577105,0.9823900750798902,0.9907699823379515,True,False,,,,,,,False
gru,conditional,3,7.0,-0.00022031976744190106,-7.406561461797967e-05,-0.0005291112956811173,-0.0003035617480735775,1,0.0005000000000000004,False,legacy_mean,0.7184863700707094,0.8477235436439514,0.1213696854402002,0.0426122844219207,0.8106234837175326,0.886557398930125,0.994693160057068,True,False,,,,,,,False
gru,conditional,3,8.0,-0.00017147425249171012,-0.00010805647840528287,-0.0008713455149501614,-0.00034918679115825135,2,0.0005000000000000004,False,legacy_mean,0.2974372147454651,0.5468789935112,0.3615364657126344,0.1433535814285278,0.5001105345716035,0.6359453685855146,0.9983698129653932,False,False,,,,,,,False
gru,conditional,3,9.0,0.0,0.0,0.0,0.0,0,0.0,False,legacy_mean,,,0.0,0.0,,,0.0,False,False,,,,,,,False
gru,conditional,3,10.0,0.0005876993355481641,0.0005577865448505026,-2.79692691029787e-05,0.0006220664859735381,4,0.0004999999999999987,False,legacy_mean,0.1901592773672956,0.4344758987426758,0.4539596056210538,0.1942001581192016,0.1148842134756825,0.4754276976683602,1.00121009349823,False,False,,,,,,,False
gru,conditional,3,11.0,-0.00017358388704320494,-4.512043189375259e-05,-0.0009198920265780508,5.471161423098447e-05,2,0.0007500000000000007,False,legacy_mean,0.0145931334962615,0.1211393773555755,0.7025116868592033,0.3832193613052368,-0.013847639476689,-0.2776265762891957,0.9969984889030457,False,False,,,,,,,False
gru,conditional,4,1.0,0.0036730481727575313,0.001027242524917038,-0.0005359634551493908,0.002857983723860724,4,0.0005000000000000004,False,legacy_mean,0.9735514594657588,0.9860982298851012,0.0107001973907897,0.0037028193473815,0.9716406840851836,0.972594011099527,1.0054640769958496,True,False,,,,,,,False
gru,conditional,4,2.0,-0.004229630398671036,-0.0017839285714283948,-0.013541445182724265,-0.0033998552591461896,1,0.0002500000000000002,False,legacy_mean,0.9547037280833192,0.976567566394806,0.0173378191583196,0.0056550055742263,0.9528272462470592,0.957772059655812,1.0040563344955444,True,False,,,,,,,False
