architecture,seed,fault_id,auroc_F0,auroc_F0-C,auroc_F1,auprc_F0,auprc_F0-C,auprc_F1,delta_auroc_f0,delta_auroc_f0c,delta_auprc_f0,delta_auprc_f0c
tcn,44,3,0.5242850005978952,0.5231041391604072,0.5400786540332035,0.7216956210653996,0.7208734266310984,0.7324178414867617,0.015793653435308364,0.01697451487279633,0.010722220421362061,0.011544414855663265
tcn,44,4,0.5011229796382796,0.5016232822841814,0.5984786156939467,0.710123324036489,0.7102187441796485,0.7666754901076823,0.0973556360556671,0.09685533340976527,0.05655216607119329,0.05645674592803385
tcn,44,5,0.494456257496804,0.4943903195225714,0.4941995909657424,0.7047550863759404,0.7045964869674266,0.704531441501831,-0.0002566665310616001,-0.0001907285568290007,-0.0002236448741094188,-6.504546559560342e-05
tcn,44,6,0.9996014011703952,0.9995766470778952,0.999592075238634,0.9998686214046436,0.9998575748178036,0.9998663442556578,-9.32593176117269e-06,1.542816073885067e-05,-2.2771489858186555e-06,8.76943785421691e-06
tcn,44,7,0.510905761860206,0.5109719001601373,0.9992889547189956,0.7204380373161218,0.7206892188652102,0.999761906099587,0.4883831928587896,0.4883170545588583,0.27932386878346527,0.27907268723437684
tcn,44,8,0.9917461774774742,0.9918529818942552,0.9924043891668792,0.9971789000093464,0.9972180173636296,0.9974157792396487,0.0006582116894050527,0.0005514072726240382,0.00023687923030235591,0.00019776187601916462
tcn,44,9,0.5271047204131271,0.5262729742757147,0.5409266357980175,0.726355537126874,0.7257661328045992,0.735723852705679,0.013821915384890415,0.014653661522302741,0.00936831557880502,0.009957719901079742
tcn,44,10,0.9589856123001212,0.9595807460498854,0.9595732477048838,0.9851003215332972,0.9853364001114752,0.985355024732554,0.0005876354047625876,-7.498345001577533e-06,0.0002547031992568005,1.8624621078822123e-05
tcn,44,11,0.9386588595118956,0.9392972266293876,0.9477639214032908,0.9766882072204932,0.9769542391222638,0.9800328310026462,0.00910506189139515,0.00846669477390316,0.0033446237821529445,0.0030785918803823975
tcn,44,12,0.7987016614088875,0.797773475398155,0.8021988950650842,0.9145587114585452,0.9141084060734248,0.9162590240432172,0.0034972336561966966,0.00442541966692922,0.0017003125846720701,0.0021506179697924344
tcn,44,13,0.9887078376042772,0.9887117547421715,0.9888326189410722,0.9962616359530292,0.99626271650272,0.9963058837479408,0.00012478133679505454,0.00012086419890067202,4.4247794911633775e-05,4.316724522079873e-05
tcn,44,14,0.9967706387862604,0.9966583793466054,0.9965704178732436,0.9987546118479962,0.9987067858221071,0.9986745307927616,-0.0002002209130167465,-8.796147336176396e-05,-8.008105523460429e-05,-3.225502934556257e-05
tcn,44,15,0.5182927843299691,0.5186148741523141,0.5186739085947738,0.7197730867685317,0.7198397499728478,0.7204420611085018,0.00038112426480474415,5.903444245969336e-05,0.000668974339970152,0.0006023111356540101
tcn,44,16,0.5118925292691255,0.5117533922845636,0.5126010072992521,0.7155908883355325,0.715554292895701,0.7158224273714705,0.0007084780301265248,0.0008476150146884409,0.00023153903593797764,0.0002681344757694548
tcn,44,17,0.9840591626509068,0.9844785213867716,0.9844199369066506,0.9944081475669604,0.994571374070916,0.9945241341705756,0.00036077425574387867,-5.858448012097117e-05,0.00011598660361522573,-4.723990034039005e-05
tcn,44,18,0.93411104084302,0.9343453910912388,0.9347489826536436,0.9756121488305012,0.9757095967372136,0.9756786561381232,0.000637941810623599,0.00040359156240477034,6.650730762203239e-05,-3.0940599090367726e-05
tcn,44,19,0.7743913211510653,0.7727111956793753,0.9492643146580472,0.902849705939475,0.902003749083853,0.9802092710552888,0.17487299350698182,0.17655311897867187,0.07735956511581377,0.07820552197143582
